Comment,Description,Designator,Footprint,LibRef,Quantity,JLCPCB,SuppliersPartNumber
"MWSA0518S-6R8MT","POWER INDUCTORS SMD,5.2X5.4X1.8MM ROHS","L100","MWSA0518","MWSA0518S-6R8MT","1","","C408348"
"P6SMB6.8CA","TVS","D100, D101, D400, D401, D402, D403","SMB(DO-214AA)_S1","SMB/DO-214AA P6SMB6.8CA","6","","C78395"
"SMF05CT1G","TVS","U101","SC-70-6(SOT-363)","SMF05CT1G_[C15879]","1","","C15879"
"SS54","???","D102","SMA(DO-214AC)_S1","SMA(DO-214AC) SS54","1","","C22452"
"STEP-DOWN CONVERTER","1.2A, 24V, 1.4MHz STEP-DOWN CONVERTER IN A TSOT23-6","U102","*TSOT-23_S6","MP2359","1","","C14259"
"STM32F030F4P6","ARM","U502","TSSOP-20","STM32F030F4P6","1","","C32908"
"STM32H743IIT6","ST MICROELECTRONICS LQFP-176_24X24X05P ROHS","U800","Quad176","STM32H743IIT6","1","","C89597"
"W25Q128JVSIQTR","Flash ROM","U801, U802","SOIC-8_208mil","W25Q128JVSIQTR_[C97521]","2","","C97521"
"?? 0603","?????","D800, D801","0603_LED_S1","0603 ??","2","","C2286"
"?? 0603","?????","D802, D803","0603_LED_S1","0603 ??","2","","C72043"
