Altium Designer Pick and Place Locations
C:\Source\x_pmu\x_pmu\Project Outputs for x_pmu_project\Pick Place for x_pmu_board.csv

========================================================================================================================
File Design Information:

Date:       10/07/20
Time:       14:25
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","JLCPCB"
"U100","ADUM1400BRWZ","TopLayer","ADI-RW-16_L","49.4550mm","32.2000mm","180","Quad Channel Digital Isolator, 2.5 KV rms Insulation Rating, 10 Mbps Data Rate, 50 ns Delay, Industrial, 16-pin SOIC (RW-16), Tube",""
"R100","0O (0R0) ±1%","TopLayer","0603_R","40.1550mm","13.0000mm","270","????",""
"FB100","100O ±25% 100MHz","TopLayer","0805_L","25.8450mm","15.2200mm","270","????",""
"D101","P6SMB6.8CA","TopLayer","SMB(DO-214AA)_S1","34.2550mm","14.4000mm","270","TVS",""
"D100","P6SMB6.8CA","TopLayer","SMB(DO-214AA)_S1","29.5550mm","14.4000mm","90","TVS",""
"R310","560k","TopLayer","2512_HV_RES","76.3150mm","46.6250mm","90","HIGH VOLTAGE RESISTOR 560KOHMS ±1% 1W 2512 ROHS",""
"R309","560k","TopLayer","2512_HV_RES","76.3150mm","38.4250mm","90","HIGH VOLTAGE RESISTOR 560KOHMS ±1% 1W 2512 ROHS",""
"R307","560k","TopLayer","2512_HV_RES","83.8150mm","46.6250mm","90","HIGH VOLTAGE RESISTOR 560KOHMS ±1% 1W 2512 ROHS",""
"R306","560k","TopLayer","2512_HV_RES","83.8150mm","38.4250mm","90","HIGH VOLTAGE RESISTOR 560KOHMS ±1% 1W 2512 ROHS",""
"R304","560k","TopLayer","2512_HV_RES","91.3150mm","46.6250mm","90","HIGH VOLTAGE RESISTOR 560KOHMS ±1% 1W 2512 ROHS",""
"R303","560k","TopLayer","2512_HV_RES","91.3150mm","38.4250mm","90","HIGH VOLTAGE RESISTOR 560KOHMS ±1% 1W 2512 ROHS",""
"R301","560k","TopLayer","2512_HV_RES","98.8150mm","46.6250mm","90","HIGH VOLTAGE RESISTOR 560KOHMS ±1% 1W 2512 ROHS",""
"R300","560k","TopLayer","2512_HV_RES","98.8150mm","38.4250mm","90","HIGH VOLTAGE RESISTOR 560KOHMS ±1% 1W 2512 ROHS",""
"R812","47O (47R0) ±1%","TopLayer","0402_R","5.5550mm","36.7000mm","180","????",""
"R805","4.7KO (4701) ±1%","TopLayer","0402_R","21.3550mm","81.6000mm","90","????",""
"FB800","600O ±25% 100MHz","TopLayer","0805_L","2.4550mm","36.0000mm","360","????",""
"C809","100nF (104) 10% 16V","TopLayer","0402_C","5.5550mm","38.0000mm","180","????",""
"C808","1uF (105) 10% 50V","TopLayer","0603_C","1.7550mm","39.0000mm","90","????",""
"C806","100nF (104) 10% 16V","TopLayer","0402_C","5.5550mm","39.2000mm","360","????",""
"C805","1uF (105) 10% 50V","TopLayer","0603_C","3.3550mm","39.0000mm","270","????",""
"U501","MCP6002T-I/SN","TopLayer","SOIC-8_150mil","81.5100mm","60.6500mm","360","??",""
"R506","0O (0R0) ±1%","TopLayer","0402_R","67.1050mm","49.5074mm","90","????",""
"R505","1KO (1001) ±1%","TopLayer","0402_R","67.8050mm","58.1074mm","180","????",""
"R504","0O (0R0) ±1%","TopLayer","0402_R","56.9050mm","48.0074mm","360","????",""
"R503","1KO (1001) ±1%","TopLayer","0402_R","67.8050mm","59.4074mm","180","????",""
"R502","1KO (1001) ±1%","TopLayer","0402_R","54.7050mm","58.3074mm","180","????",""
"R501","47O (47R0) ±1%","TopLayer","0603_R","76.6100mm","59.6500mm","180","????",""
"R500","47O (47R0) ±1%","TopLayer","0603_R","76.6100mm","57.7500mm","180","????",""
"R415","2KO (2001) ±1%","TopLayer","0805_R","99.7550mm","67.8000mm","90","????",""
"R414","33O (33R0) ±1%","TopLayer","0603_R","97.1700mm","75.6600mm","180","????",""
"R413","33O (33R0) ±1%","TopLayer","0603_R","93.6700mm","75.6600mm","180","????",""
"R412","2KO (2001) ±1%","TopLayer","0805_R","92.8550mm","67.8000mm","90","????",""
"R411","2KO (2001) ±1%","TopLayer","0805_R","90.4550mm","67.8000mm","90","????",""
"R410","33O (33R0) ±1%","TopLayer","0603_R","88.2850mm","75.6400mm","180","????",""
"R409","33O (33R0) ±1%","TopLayer","0603_R","84.8850mm","75.6400mm","180","????",""
"R408","2KO (2001) ±1%","TopLayer","0805_R","83.5550mm","67.8000mm","90","????",""
"R407","2KO (2001) ±1%","TopLayer","0805_R","81.1550mm","67.8000mm","90","????",""
"R406","33O (33R0) ±1%","TopLayer","0603_R","79.4900mm","75.6200mm","180","????",""
"R405","33O (33R0) ±1%","TopLayer","0603_R","76.1900mm","75.6200mm","180","????",""
"R404","2KO (2001) ±1%","TopLayer","0805_R","74.2550mm","67.8000mm","90","????",""
"R403","2KO (2001) ±1%","TopLayer","0805_R","71.9550mm","67.8000mm","90","????",""
"R402","33O (33R0) ±1%","TopLayer","0603_R","70.9100mm","75.6100mm","180","????",""
"R401","33O (33R0) ±1%","TopLayer","0603_R","67.5100mm","75.6100mm","180","????",""
"R400","2KO (2001) ±1%","TopLayer","0805_R","65.0550mm","67.8000mm","90","????",""
"R311","2KO (2001) ±1%","TopLayer","0805_R","77.0150mm","54.1250mm","270","????",""
"R308","2KO (2001) ±1%","TopLayer","0805_R","84.4150mm","54.1250mm","270","????",""
"R305","2KO (2001) ±1%","TopLayer","0805_R","91.8650mm","54.1250mm","270","????",""
"R302","2KO (2001) ±1%","TopLayer","0805_R","99.3650mm","54.1250mm","270","????",""
"D403","P6SMB6.8CA","TopLayer","SMB(DO-214AA)_S1","95.5700mm","72.2600mm","360","TVS",""
"D402","P6SMB6.8CA","TopLayer","SMB(DO-214AA)_S1","86.7850mm","72.2400mm","360","TVS",""
"D401","P6SMB6.8CA","TopLayer","SMB(DO-214AA)_S1","77.9900mm","72.2200mm","360","TVS",""
"D400","P6SMB6.8CA","TopLayer","SMB(DO-214AA)_S1","69.2100mm","72.2100mm","360","TVS",""
"C520","1uF (105) 10% 50V","TopLayer","0603_C","61.7050mm","63.1074mm","360","????",""
"C519","1uF (105) 10% 50V","TopLayer","0603_C","60.4050mm","45.1074mm","180","????",""
"C518","1uF (105) 10% 50V","TopLayer","0603_C","51.8050mm","54.3074mm","90","????",""
"C517","100nF (104) 10% 16V","TopLayer","0402_C","61.2050mm","60.6074mm","270","????",""
"C516","100nF (104) 10% 16V","TopLayer","0402_C","61.3050mm","47.2074mm","270","????",""
"C515","100nF (104) 10% 16V","TopLayer","0402_C","54.3050mm","55.2074mm","360","????",""
"C514","100nF (104) 10% 16V","TopLayer","0402_C","54.3050mm","54.0074mm","180","????",""
"C513","100nF (104) 10% 16V","TopLayer","0402_C","78.0100mm","62.8500mm","270","????",""
"C512","100nF (104) 10% 16V","TopLayer","0402_C","67.8050mm","55.4074mm","180","????",""
"C511","100nF (104) 10% 16V","TopLayer","0402_C","67.8050mm","56.6074mm","360","????",""
"C509","100nF (104) 10% 16V","TopLayer","0402_C","67.5050mm","52.3074mm","360","????",""
"C508","100nF (104) 10% 16V","TopLayer","0402_C","62.5050mm","60.6074mm","270","????",""
"C507","100nF (104) 10% 16V","TopLayer","0402_C","62.6050mm","47.2074mm","270","????",""
"C506","1uF (105) 10% 50V","TopLayer","0603_C","76.1100mm","62.2500mm","270","????",""
"C505","100nF (104) 10% 16V","TopLayer","0402_C","67.5050mm","51.1074mm","180","????",""
"C504","1uF (105) 10% 50V","TopLayer","0603_C","69.8050mm","56.0074mm","270","????",""
"C502","1uF (105) 10% 50V","TopLayer","0603_C","69.5050mm","51.7074mm","270","????",""
"C500","1uF (105) 10% 50V","TopLayer","0603_C","63.5050mm","45.1074mm","360","????",""
"C407","10nF (103) 10% 50V","TopLayer","0805_C","97.4550mm","67.8000mm","90","????",""
"C406","10nF (103) 10% 50V","TopLayer","0805_C","95.1550mm","67.8000mm","270","????",""
"C405","10nF (103) 10% 50V","TopLayer","0805_C","88.1550mm","67.8000mm","90","????",""
"C404","10nF (103) 10% 50V","TopLayer","0805_C","85.8550mm","67.8000mm","270","????",""
"C403","10nF (103) 10% 50V","TopLayer","0805_C","78.8550mm","67.8000mm","90","????",""
"C402","10nF (103) 10% 50V","TopLayer","0805_C","76.5550mm","67.8000mm","270","????",""
"C401","10nF (103) 10% 50V","TopLayer","0805_C","69.6550mm","67.8000mm","90","????",""
"C400","10nF (103) 10% 50V","TopLayer","0805_C","67.3550mm","67.8000mm","270","????",""
"C303","10nF (103) 10% 50V","TopLayer","0805_C","74.5150mm","54.1250mm","270","????",""
"C302","10nF (103) 10% 50V","TopLayer","0805_C","81.9150mm","54.1250mm","270","????",""
"C301","10nF (103) 10% 50V","TopLayer","0805_C","89.3650mm","54.1250mm","270","????",""
"C300","10nF (103) 10% 50V","TopLayer","0805_C","96.8650mm","54.1250mm","270","????",""
